record,name,year,debut,region,team,pos,gp,k
x-xxx-xx---,sOAZ,2018,2011,EU,Fnatic,Top,84,6
-x-xxxxx---,Clearlove,2018,2012,CN,EDward Gaming,Jungle,50,120
-xx---xx---,Diamondprox,2018,2012,CIS,Gambit Esports,Jungle,47,99
--x----x---,Benny,2018,2013,EU,MAD Team,Jungle,18,23
---x---x---,fabFabulous,2018,2014,TRK,SuperMassive Esports,Top,9,14
---x-------,Spirit,2018,2014,KR,Kwangdong Freecs,Jungle,7,5
----xx-x---,aphromoo,2018,2015,NA,100 Thieves,Support,18,16
----x--x---,Hjarnan,2018,2015,EU,G2 Esports,ADC,30,107
----xx-x---,Kuro,2018,2015,KR,Kwangdong Freecs,Middle,42,161
----x-xx---,Pobelter,2018,2015,NA,Team Liquid,Middle,19,37
----xx-x---,Ryu,2018,2015,NA,100 Thieves,Middle,25,75
----x--x---,Score,2018,2015,KR,KT Rolster,Jungle,21,37
----xx-x---,Smeb,2018,2015,KR,KT Rolster,Top,44,148
-----xxx---,Ambition,2018,2016,KR,Gen.G,Jungle,33,55
-----xxx---,Crown,2018,2016,KR,Gen.G,Middle,39,122
-----xxx---,CuVee,2018,2016,KR,Gen.G,Top,39,99
-----x-x---,Duke,2018,2016,NA,Invictus Gaming,Top,25,63
-----xxx---,Kira,2018,2016,CIS,Gambit Esports,Middle,23,53
-----xxx---,Mlxg,2018,2016,CN,Royal Never Give Up,Jungle,28,52
-----xxx---,PvPStejos,2018,2016,CIS,Gambit Esports,Top,23,40
------xx---,Betty,2018,2017,PCS,Flash Wolves,ADC,13,36
------xx---,Bigkoro,2018,2017,VNM,Phong Vũ Buffalo,ADC,13,37
------xx---,Fix,2018,2017,LAM,Kaos Latin Gamers,ADC,8,20
------xx---,Haru,2018,2017,KR,Gen.G,Jungle,6,14
------xx---,iBoy,2018,2017,CN,EDward Gaming,ADC,23,107
------xx---,Letme,2018,2017,CN,Royal Never Give Up,Top,27,40
------xx---,Naul,2018,2017,VNM,Phong Vũ Buffalo,Middle,13,34
------xx---,Palette,2018,2017,VNM,Phong Vũ Buffalo,Support,13,5
------xx---,Plugo,2018,2017,LAM,Kaos Latin Gamers,Middle,8,12
------xx---,Shernfire,2018,2017,OCE,Dire Wolves,Jungle,7,15
------xx---,Tierwulf,2018,2017,LAM,Kaos Latin Gamers,Jungle,8,6
-------x---,AnDa,2018,2018,NA,100 Thieves,Jungle,6,29
-------x---,Arce,2018,2018,LAM,INFINITY,Support,8,3
-------x---,Attila,2018,2018,EU,Team Vitality,ADC,6,24
-------x---,baybay,2018,2018,PCS,G-Rex,Jungle,3,3
-------x---,BioPanther,2018,2018,OCE,Dire Wolves,Top,4,6
-------x---,Breeze,2018,2018,EU,MAD Team,ADC,6,7
-------x---,Cabochard,2018,2018,EU,Team Vitality,Top,6,12
-------x---,Candy,2018,2018,PCS,G-Rex,Middle,14,38
-------x---,Cotopaco,2018,2018,LAM,INFINITY,Middle,8,23
-------x---,Cupcake,2018,2018,OCE,Dire Wolves,Support,4,3
-------x---,dyNquedo,2018,2018,BRL,KaBuM! e-Sports,Middle,5,13
-------x---,Empt2y,2018,2018,PCS,G-Rex,Jungle,11,26
-------x---,GBM,2018,2018,TRK,SuperMassive Esports,Middle,9,24
-------x---,Haro,2018,2018,CN,EDward Gaming,Jungle,11,33
-------x---,Jactroll,2018,2018,EU,Team Vitality,Support,6,1
-------x---,Jiizuke,2018,2018,EU,Team Vitality,Middle,6,20
